age,educ,pct_male,prior_crime_incidence,military,armed_robberies,homicides
40,12.285714,0.28571427,1,0,0,0
48.57143,10.142858,0.28571427,1,0,0,0
44.42857,10.571428,0,1,1,0,0
32.142857,13.285714,0.4285714,2,1,0,1
36,12.714286,0.14285713,2,0,0,0
45,11.714286,0.57142854,1,0,0,0
43.714287,13.714286,0.4285714,1,1,0,0
44.142857,13.714286,0.28571427,1,1,0,0
55.42857,8.285714,0,1,0,0,0
NA,NA,NA,1,1,0,0
29,14.142858,0.14285713,1,0,0,0
39.42857,9.571428,0.14285713,1,0,0,0
40.714287,11.428572,0.28571427,1,0,0,0
31.571428,12.857142,0.28571427,1,0,0,0
27,11.5,0.5,2,1,0,0
37.714287,10.428572,0.14285713,1,1,0,0
41.25,12.5,0.5,1,1,0,0
38,14.333333,0.6666666,1,1,0,0
43.42857,9.571428,0.14285713,1,1,0,0
25.714285,13.714286,0.14285713,1,0,0,0
37.714287,12.285714,0.14285713,1,0,0,0
43.42857,10.571428,0.14285713,1,0,0,0
38.142857,9.714286,0.14285713,1,0,0,0
NA,NA,NA,1,1,0,0
36.857143,12.285714,0.4285714,1,0,0,0
30.285715,14.285714,0.4285714,1,0,0,0
44.857143,11.285714,0.14285713,2,0,0,0
54,10.666667,0.3333333,2,1,0,0
30.285715,14.714286,0.28571427,1,1,0,0
NA,NA,NA,1,1,0,0
47.714287,14.285714,0.28571427,1,0,1,0
39.42857,15.285714,0.28571427,1,0,0,0
31.857143,14.857142,0.14285713,1,1,0,0
37.142857,14,0.28571427,1,0,0,0
38.142857,14.285714,0.57142854,4,1,0,2
64,9.142858,0.14285713,1,0,0,0
60.857143,8.428572,0.28571427,2,0,0,0
55.285713,11.142858,0.28571427,2,0,0,1
51.142857,10.142858,0.28571427,2,1,0,0
57,12,0.14285713,1,0,0,0
45.714287,11.285714,0.14285713,1,1,0,0
45.75,12.875,0.125,1,0,0,0
47.375,11.5,0.625,1,0,0,0
41.714287,13,0.4285714,1,1,0,0
46.857143,13,0.28571427,1,0,1,0
39.714287,11.428572,0,3,1,1,0
33.142857,13,0.28571427,1,0,0,0
48.714287,11,0.14285713,1,0,0,0
46.375,11.625,0.25,1,1,0,0
41.42857,12.571428,0.28571427,1,0,0,0
56,7.571429,0.14285713,1,0,0,0
43.42857,10.142858,0.71428573,1,0,0,0
39.875,12.375,0.25,1,1,0,0
48.875,10.285714,0,4,0,0,0
45.142857,11.714286,0.28571427,1,1,0,0
52.75,10.25,0.25,1,0,0,0
63.444443,10.777778,0.5555556,2,0,0,0
43.375,14.125,0.25,4,0,0,0
NA,NA,NA,1,0,0,0
55.444443,10.444445,0.6666666,2,1,0,0
44.285713,17,0.28571427,3,0,0,0
49.88889,13,0.111111104,2,0,0,0
51.666668,14,0.16666669,1,1,1,0
49.88889,11.888889,0.44444442,7,0,0,0
51.5,14.375,0.5,2,0,0,0
NA,NA,NA,13,0,2,2
NA,NA,NA,2,0,0,0
50,11,0.57142854,1,0,0,0
40.714287,12,0.28571427,1,0,0,0
61.285713,7.571429,0.4285714,2,1,0,0
59,7.428571,0,1,1,0,0
47.42857,10,0.28571427,1,0,0,0
48.42857,8,0.14285713,1,0,0,0
52.75,10.875,0.625,1,1,0,0
NA,NA,NA,1,1,0,0
56,9.428572,0.28571427,1,0,0,0
44,11,0.14285713,2,1,0,0
46,10.571428,0.14285713,3,0,0,0
55.57143,10.428572,0.28571427,2,0,0,0
51.6,7.4,0.6,2,0,0,1
45.42857,10.571428,0.57142854,1,0,0,0
45.666668,11.833333,0.16666669,1,1,0,0
NA,NA,NA,1,1,0,0
49.57143,7.142857,0.28571427,1,0,0,0
44,8,0,1,0,0,0
45.42857,12.285714,0.4285714,1,1,0,0
46.75,9,0,1,1,0,0
53.25,6.75,0,1,0,0,0
54.42857,10.428572,0.4285714,2,1,0,0
48.857143,8.142858,0.14285713,1,1,0,0
41.5,10.875,0.25,1,1,0,0
50.714287,7.857143,0.4285714,1,1,0,0
38,10,0.28571427,3,1,0,0
40.57143,11.571428,0.28571427,1,1,0,0
46.57143,12.857142,0.28571427,3,1,0,0
45.285713,12.714286,0.28571427,2,1,0,0
38.285713,12.142858,0.57142854,1,1,0,0
55.714287,9.285714,0.28571427,1,1,0,0
47.57143,13,0.28571427,1,1,0,0
54.714287,10,0,1,1,0,0
