"","drafted","lottery","predraft_colprep","predraft_voted_1968","predraft_ideology_index","postwar_support_us_intervention"
"269",0,339,1,1,0.5,"Yes"
"270",0,72,1,1,0.125,"No"
"271",0,136,1,0,0,"Yes"
"272",1,37,1,0,0.25,"No"
"273",0,197,1,1,0.375,"Yes"
"274",0,310,1,1,0,"No"
"275",0,218,0,0,0.5,"No"
"276",0,280,1,1,0.625,"Yes"
"277",0,287,0,1,0.25,"Yes"
"278",0,316,1,1,0.5,"No"
"279",0,240,0,0,0.666666686534882,"Yes"
"280",0,211,0,0,0.833333313465118,"Yes"
"281",1,178,0,0,0.25,"No"
"282",0,38,1,0,0.75,"No"
"283",0,167,1,1,0,"Yes"
"284",0,284,1,1,0.375,"No"
"285",0,342,0,1,0.125,"No"
"286",0,353,1,0,0,"No"
"287",0,340,0,1,1,"No"
"288",0,238,1,1,0.375,"Yes"
"289",1,2,0,1,0.666666686534882,"Yes"
"290",0,180,1,1,0.25,"No"
"291",0,15,1,1,0,"Yes"
"292",0,201,1,0,0.375,"Yes"
"293",0,287,0,0,0,"No"
"294",1,164,1,1,0.375,"Yes"
"295",0,344,1,1,0.5,"Yes"
"296",0,53,1,1,0.5,"No"
"297",0,336,1,NA,0,"Yes"
"298",0,51,1,1,0.375,"No"
"299",0,296,1,1,0.5,"No"
"300",0,303,0,1,0.5,"Yes"
"301",1,105,1,1,0.25,"Yes"
"302",0,312,0,0,0.375,"Yes"
"303",0,123,1,1,0.16666667163372,"Yes"
"304",0,151,1,1,0.5,"No"
"305",0,324,1,0,0.666666686534882,"Yes"
"306",0,345,0,0,0.625,"Yes"
"307",0,53,1,0,0.375,"Yes"
"308",0,160,1,1,0.5,"No"
"309",0,303,0,NA,0.125,"Yes"
"310",1,110,0,1,0,"Yes"
"311",0,200,1,0,0.5,"No"
"312",0,120,1,NA,0.375,"Yes"
"313",0,243,0,1,0.375,"Yes"
"314",0,243,1,1,0.125,"Yes"
"315",0,201,0,0,0.125,"Yes"
"316",0,17,1,1,0.375,"Yes"
"317",0,317,1,1,0.375,"No"
"318",1,122,1,0,0.25,"No"
"319",0,172,1,NA,0.16666667163372,"No"
"320",0,327,0,NA,0.625,"Yes"
"321",0,16,1,0,0.25,"Yes"
"322",0,5,1,0,0.375,"No"
"323",0,361,0,1,0.5,"Yes"
"324",0,84,1,0,0.333333343267441,"Yes"
"325",0,345,0,0,0.375,"Yes"
"326",0,330,1,NA,0.25,"Yes"
"327",0,217,0,0,0.16666667163372,"Yes"
"328",0,174,1,1,0.75,"Yes"
"329",1,264,1,NA,0.375,"Yes"
"330",0,347,0,0,0.16666667163372,"Yes"
"331",0,362,0,NA,0.625,"Yes"
"332",0,126,1,1,0.25,"Yes"
"333",0,283,0,1,0.5,"No"
"334",0,257,0,1,0.375,"Yes"
"335",0,288,0,0,0.5,"No"
"336",0,40,1,1,0,"Yes"
"337",0,212,1,0,0.125,"No"
"338",1,45,1,1,0,"No"
"339",0,236,0,1,0.25,"Yes"
"340",0,200,0,0,0.25,"Yes"
"341",1,59,1,1,0.375,"Yes"
"342",0,333,1,1,0,"Yes"
"343",0,314,0,1,0.25,"No"
"344",0,344,0,1,NA,"No"
"345",1,175,0,1,0.833333313465118,"Yes"
"346",0,211,0,0,0.25,"Yes"
"347",0,354,0,1,0,"Yes"
"348",0,347,1,1,0.125,"No"
"349",1,124,1,1,0,"No"
"350",0,258,1,1,0.375,"Yes"
"351",0,100,1,0,0.375,"No"
"352",0,325,0,NA,0.375,"Yes"
"353",0,343,1,0,0.375,"Yes"
"354",0,187,1,1,0.25,"No"
"355",0,215,0,0,0.666666686534882,"Yes"
"356",0,296,1,0,0.375,"Yes"
"357",0,285,1,1,0.375,"Yes"
"358",0,190,1,1,0.5,"No"
"359",0,288,1,0,0.25,"No"
"360",0,2,1,1,0.16666667163372,"Yes"
"361",1,282,1,1,0.333333343267441,"Yes"
"362",0,264,0,0,0.125,"Yes"
"363",0,66,1,0,0.25,"No"
"364",0,248,0,0,0.125,"Yes"
"365",1,230,1,0,0.333333343267441,"No"
"366",0,57,1,0,0.375,"No"
"367",0,259,0,0,0.625,"Yes"
"368",0,202,0,1,0.625,"No"
"369",0,108,1,0,0.375,"No"
"370",0,338,0,0,0.16666667163372,"Yes"
"371",0,204,0,1,0.375,"Yes"
"372",0,198,0,1,0,"No"
"373",0,118,1,1,0.16666667163372,"No"
"374",0,211,1,1,0.5,"Yes"
"375",1,57,0,0,0.375,"Yes"
"376",0,61,1,0,0.16666667163372,"Yes"
"377",1,23,0,1,0.5,"No"
"378",0,25,1,1,0,"Yes"
"379",0,225,0,1,0.125,"Yes"
"380",0,89,1,1,0.125,"No"
"381",1,116,0,1,0.75,"Yes"
"382",0,227,0,1,0.75,"Yes"
"383",0,248,0,1,0.625,"Yes"
"384",0,286,1,0,0.666666686534882,"No"
"385",0,197,1,0,0.25,"Yes"
"386",0,291,0,1,0.5,"Yes"
"387",0,56,1,1,0.25,"Yes"
"388",0,327,0,1,0.25,"Yes"
"389",0,344,1,1,0.333333343267441,"No"
"390",0,125,1,1,0,"Yes"
"391",0,309,1,NA,0,"Yes"
"392",0,280,1,0,0.375,"No"
"393",1,99,0,0,0.625,"Yes"
"394",0,315,1,0,0.25,"No"
"395",0,171,1,1,0.625,"Yes"
"396",0,221,1,1,0.333333343267441,"Yes"
"397",0,348,0,NA,0.5,"No"
"398",0,343,1,1,0,"No"
"399",0,261,0,NA,0.375,"No"
"400",0,135,1,0,0.375,"Yes"
